District,Code
Adilabad,TG01
Agar Malwa,MP01
Agra,UP01
Ahmedabad,GJ01
Ahmednagar,MH01
Aizawl,MZ01
Ajmer,RJ01
Akola,MH02
Alappuzha,KL01
Aligarh,UP02
Alipurduar,WB01
Alirajpur,MP02
Allahabad,UP03
Almora,UK01
Alwar,RJ02
Ambala,HR01
Ambedkar Nagar,UP04
Amethi,UP05
Amravati,MH03
Amreli,GJ02
Amritsar,PB01
Amroha,UP06
Anand,GJ03
Anantapur,AP01
Anantnag,JK01
Angul,OR01
Anjaw,AR01
Anuppur,MP03
Araria,BR01
Aravalli,GJ04
Ariyalur,TN01
Arwal,BR02
Ashok Nagar,MP04
Auraiya,UP07
Aurangabad,BR03
Aurangabad,MH04
Azamgarh,UP08
Bagalkot,KA01
Bageshwar,UK02
Bagpat,UP09
Bahraich,UP10
Bajali,AS01
Baksa,AS02
Balaghat,MP05
Balangir,OR02
Balasore,OR03
Ballari,KA02
Ballia,UP11
Balod,CG01
Baloda Bazar,CG02
Balrampur,CG03
Balrampur,UP12
Banaskantha,GJ05
Banda,UP13
Bandipora,JK02
Bangalore Rural,KA03
Bangalore Urban,KA04
Banka,BR04
Bankura,WB02
Banswara,RJ03
Barabanki,UP14
Baramulla,JK03
Baran,RJ04
Bareilly,UP15
Bargarh (Baragarh),OR04
Barmer,RJ05
Barnala,PB02
Barpeta,AS03
Barwani,MP06
Bastar,CG04
Basti,UP16
Bathinda,PB03
Beed,MH05
Begusarai,BR05
Belgaum,KA05
Bemetara,CG05
Betul,MP07
Bhadohi,UP17
Bhadradri Kothagudem,TG02
Bhadrak,OR05
Bhagalpur,BR06
Bhandara,MH06
Bharatpur,RJ06
Bharuch,GJ06
Bhavnagar,GJ07
Bhilwara,RJ07
Bhind,MP08
Bhiwani,HR02
Bhojpur,BR07
Bhopal,MP09
Bidar,KA06
Bijapur,CG06
Bijapur,KA07
Bijnor,UP18
Bikaner,RJ08
Bilaspur,HP01
Bilaspur,CG07
Birbhum,WB03
Bishnupur,MN01
Bishwanath,AS04
Bokaro,JH01
Bongaigaon,AS05
Botad,GJ08
Boudh (Bauda),OR06
Budaun,UP19
Budgam,JK04
Bulandshahr,UP20
Buldhana,MH07
Bundi,RJ09
Burhanpur,MP10
Buxar,BR08
Cachar,AS06
Central Delhi,DL01
Chachaura,MP11
